EVENT_ID,CZ_NAME_STR,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,Rain Fall (In),DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,Latitude,Longitude,Wind Speed,Min Pressure,CAT,COUNTY RISK
5724262,CHATHAM (ZONE),9/4/1999,2100,Hurricane (Typhoon),3.54,0,0,0,0,NC,EST,2414680,Z,40,RAH,0,0,34.8,-76.5,60,984,0,0
5724415,CHATHAM (ZONE),9/15/1999,1600,Hurricane (Typhoon),3.38,0,0,0,0,NC,EST,1088948,Z,40,RAH,0,0,29.92,-79.06,100,943,2,0
5419649,CHATHAM (ZONE),8/30/2004,900,Tropical Storm,-999,0,0,0,0,NC,EST,1178818,Z,40,RAH,0,0,19.09,-57.43,100,957,2,0
787192,CHATHAM (ZONE),9/13/2018,2300,Tropical Storm,-999,0,0,1000000,0,NC,EST-5,131166,Z,40,RAH,0,0,33.82,-76.27,90,952,1,1
789609,CHATHAM (ZONE),10/11/2018,1100,Tropical Storm,-999,0,0,500000,0,NC,EST-5,131955,Z,40,RAH,0,0,34.1,-81.7,45,987,0,1
5421648,CHEROKEE (ZONE),9/16/2004,1845,Tropical Storm,-999,0,0,15000,0,NC,EST,1179786,Z,60,MRX,0,0,32.5,-87.4,50,975,0,0
5583534,CHOWAN (ZONE),7/12/1996,1700,Hurricane (Typhoon),1.7,0,0,0,0,NC,EST,2056604,Z,31,AKQ,0,0,33.6,-78.1,90,974,1,0
5583705,CHOWAN (ZONE),9/5/1996,1800,Hurricane (Typhoon),1.15,0,0,0,0,NC,EST,2056655,Z,31,AKQ,0,0,32.3,-77.8,100,952,2,0
5664942,CHOWAN (ZONE),8/26/1998,2000,Hurricane (Typhoon),0.53,0,0,2000000,0,NC,EST,2148972,Z,31,AKQ,0,0,33.71,-77.75,97,962,2,3
5721679,CHOWAN (ZONE),9/1/1999,0,Hurricane (Typhoon),2.25,0,0,5000,0,NC,EST,2413870,Z,31,AKQ,0,0,35.2,-73.6,60,986,0,0
5720109,CHOWAN (ZONE),9/15/1999,1200,Hurricane (Typhoon),4.5,0,0,380000,7400000,NC,EST,1088396,Z,31,AKQ,0,0,29.3,-78.9,100,943,2,3
5721134,CHOWAN (ZONE),10/17/1999,1600,Hurricane (Typhoon),4.2,0,0,5000,0,NC,EST,2413977,Z,31,AKQ,0,0,28.6,-79.9,65,984,0,0
5370978,CHOWAN (ZONE),9/18/2003,300,Hurricane (Typhoon),7.75,1,0,7600000,0,NC,EST,1163191,Z,31,AKQ,0,0,31.98,-73.87,90,954,1,3
5583723,CHOWAN (ZONE),10/7/1996,1800,Tropical Storm,-999,0,0,0,0,NC,EST,2056659,Z,31,AKQ,0,0,28.2,-86,60,983,0,0
5421553,CHOWAN (ZONE),8/14/2004,1500,Tropical Storm,-999,0,0,0,0,NC,EST,1179572,Z,31,AKQ,0,0,33,-79.4,70,992,0,0
136676,CHOWAN (ZONE),9/6/2008,400,Tropical Storm,-999,0,0,5000,0,NC,EST-5,23391,Z,31,AKQ,0,0,32.36,-79.13,60,980,0,0
342733,CHOWAN (ZONE),8/27/2011,100,Tropical Storm,-999,0,0,500000,1000000,NC,EST-5,57094,Z,31,AKQ,0,0,32.1,-77.1,75,952,1,3
537734,CHOWAN (ZONE),7/4/2014,0,Tropical Storm,-999,0,0,0,0,NC,EST-5,89214,Z,31,AKQ,0,0,34,-77.3,85,975,1,0
660829,CHOWAN (ZONE),9/2/2016,1100,Tropical Storm,6.85,0,0,0,0,NC,EST-5,110352,Z,31,AKQ,0,0,31.4,-82.8,50,989,0,0
857409,CHOWAN (ZONE),9/5/2019,2300,Tropical Storm,4.9,0,0,20000,0,NC,EST-5,142904,Z,31,AKQ,0,0,33.04,-78.45,92,957,1,1
917021,CHOWAN (ZONE),8/4/2020,100,Tropical Storm,3.52,0,0,500000,0,NC,EST-5,151991,Z,31,AKQ,0,0,32.8,-79.1,80,986,1,0
5421647,CLAY (ZONE),9/16/2004,1840,Tropical Storm,-999,0,0,15000,0,NC,EST,1179785,Z,61,MRX,0,0,32.5,-87.4,50,975,0,0
791111,CLEVELAND (ZONE),10/11/2018,1100,Tropical Storm,10.4,0,0,1000,0,NC,EST-5,132213,Z,68,GSP,0,0,34.1,-81.7,45,987,0,0
663244,COASTAL BRUNSWICK (ZONE),10/8/2016,500,Hurricane (Typhoon),7.48,0,0,0,0,NC,EST-5,110904,Z,110,ILM,0,0,31.6,-80.6,85,953,1,0
343869,COASTAL BRUNSWICK (ZONE),8/26/2011,1830,Tropical Storm,8.33,0,0,100000,0,NC,EST-5,57364,Z,110,ILM,0,0,31.1,-77.5,80,950,1,3
465055,COASTAL BRUNSWICK (ZONE),6/7/2013,200,Tropical Storm,-999,0,0,0,0,NC,EST-5,77043,Z,110,ILM,0,0,30.59,-82.22,40,994,0,0
535559,COASTAL BRUNSWICK (ZONE),7/3/2014,1500,Tropical Storm,3.92,0,0,0,0,NC,EST-5,88837,Z,110,ILM,0,0,32.33,-78.6,80,979,1,0
583284,COASTAL BRUNSWICK (ZONE),5/9/2015,800,Tropical Storm,-999,0,0,0,0,NC,EST-5,96974,Z,110,ILM,0,0,31.5,-77.56,40,1001,0,0
663082,COASTAL NEW HANOVER (ZONE),10/8/2016,500,Hurricane (Typhoon),6.6,0,0,0,0,NC,EST-5,110904,Z,108,ILM,0,0,31.6,-80.6,85,953,1,0
